id,name,district_id,status,created_at,updated_at
188,Matihani,18,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
189,Maulapur,22,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
190,Mechinagar,4,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
191,Melamchi,33,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
192,Melauli,76,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
193,Mirchaiya,16,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
194,Mithila,17,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
195,Mithila Bihari,17,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
196,Musikot,51,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
197,Musikot,59,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
198,Myanglung,13,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
199,Nagarain,17,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
200,Nagarjun,28,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
201,Nalgad,68,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
202,Namobuddha,29,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
203,Narayan,67,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
204,Nepalgunj,57,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
205,Nijgadh,20,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
206,Nilkantha,27,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
207,Pachrauta,20,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
208,Pakhribas,2,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
209,Palungtar,37,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
210,Panchadewal Binayak,70,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
211,Panchapuri,66,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
212,Panchkhal,29,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
213,Panchkhapan,9,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
214,Parashuram,75,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
215,Paroha,22,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
216,Parsagadhi,21,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
217,Patan,76,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
218,Pathari Shanischare,6,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
219,Paunauti,29,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
220,Phalewas,44,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
221,Phatuwa Bijayapur,22,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
222,Phidim,8,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
223,Phungling,12,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
224,Pokhara,38,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
225,Pokhariya,21,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
226,Punarbas,74,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
227,Purchaundi,76,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
228,Putalibaazar,45,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
229,Pyuthan,54,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
230,Rainas,39,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
231,Rajapur,58,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
232,Rajbiraj,15,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
233,Rajdevi,22,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
234,Rajpur,22,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
235,Ramdhuni,11,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
236,Ramechhap,24,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
237,Ramgopalpur,18,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
238,Ramgram,48,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
239,Rampur,52,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
240,Rangeli,6,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
241,Rapti,34,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
242,Raskot,64,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
243,Ratnanagar,34,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
244,Ratuwamai,6,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
245,Resunga,51,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
246,Ropla,55,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
247,Sabaila,17,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
248,Sainamaina,49,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
249,Sandhikharka,50,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
250,Saphebagar,70,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
251,Saptakoshi,15,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
252,Shaarda,60,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
253,Shadanand,1,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
254,Shahidnagar,17,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
255,Shailyashikhar,77,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
256,Shambhunath,15,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
257,Shankharapur,28,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
258,Shikhar,71,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
259,Shiva Sataxi,4,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
