table,id,address,city,ward_num,property_type,latitude,longitude
sellers,551,"Hariyokharka","Pokhara","",HOUSE,28.193103, 83.987524
sellers,856,"Haweli Marga","Pokhara","14",LAND,28.192739, 84.008302
sellers,730,"Hawelimarga","Pokhara","15",LAND,28.192739, 84.008302
sellers,1043,"Hawelimarga","Pokhara","14",LAND,28.192739, 84.008302
sellers,1452,"Hawelimarga","Pokhara","14",LAND,28.192739, 84.008302
sellers,1453,"Hawelimarga","Pokhara","14",LAND,28.192739, 84.008302
sellers,1454,"Hawelimarga","Pokhara","14",LAND,28.192739, 84.008302
sellers,1457,"Hawelimarga","Pokhara","14",HOUSE,28.192739, 84.008302
sellers,1458,"Hawelimarga","Pokhara","14",HOUSE,28.192739, 84.008302
sellers,1459,"Hawelimarga","Pokhara","14",HOUSE,28.192739, 84.008302
sellers,1531,"Hawelimarga","Pokhara","14",LAND,28.192739, 84.008302
sellers,1557,"Jalparoad","Pokhara","4",HOUSE,28.213263, 83.983404
sellers,727,"Jalparoad","Pokhara","9",LAND,28.213263, 83.983404
sellers,872,"Jalparoad","Pokhara","8",HOUSE,28.213263, 83.983404
sellers,878,"Jalparoad","Pokhara","8",HOUSE,28.213263, 83.983404
sellers,1318,"Kajpokhari","Pokhara","15",HOUSE,28.197821, 84.002517
sellers,1619,"kannendanda silinge","pokhara","26",LAND,28.192739, 84.008302
sellers,647,"Kasheri","Pokhara","20",LAND,28.238460, 84.012742
sellers,832,"Kaudada","Pokhara","13",LAND,28.230427, 84.016606
sellers,875,"Kaudada","Pokhara","13",LAND,28.230427, 84.016606
sellers,915,"Kaudada","Pokhara","13",LAND,28.230427, 84.016606
sellers,1683,"kaudada","pokhara","11",LAND,28.231269, 84.006100
sellers,1181,"Kaudada","Pokhara","13",LAND,28.230427, 84.016606
sellers,1277,"Kaudada","Pokhara","11",LAND,28.231269, 84.006100
sellers,1307,"Kaudada","Pokhara","11",LAND,28.231269, 84.006100
sellers,1344,"Kaudada","Pokhara","11",LAND,28.231269, 84.006100
sellers,1533,"Kaudada","Pokhara","11",LAND,28.231269, 84.006100
sellers,1560,"Kaudada","Pokhara","11",LAND,28.231269, 84.006100
sellers,1561,"Kaudada","Pokhara","11",LAND,28.231269, 84.006100
sellers,136,"Kaudanda","Pokhara","",LAND,28.232277, 84.009609
sellers,236,"Kaudanda","Pokhara","",LAND,28.232277, 84.009609
